127.0.0.1 - - [16/Jul/2022:00:01:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:01:20 +0530] "GET /Login/login.jsp HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:01:28 +0530] "POST /Login/login_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:01:28 +0530] "GET /Login/login.jsp HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:01:41 +0530] "POST /Login/login_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:01:41 +0530] "GET /Login/welcome.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:01:46 +0530] "GET /Login/videos.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:01:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:02:26 +0530] "GET /Login/welcome.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:02:29 +0530] "GET /Login/videos.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:02:31 +0530] "GET /Login/welcome.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:02:32 +0530] "GET /Login/videos.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:02:39 +0530] "GET /Login/logout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:02:39 +0530] "GET /Login/login.jsp HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:02:41 +0530] "GET /Login/videos.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:03:46 +0530] "GET /Login/welcome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2022:00:03:46 +0530] "GET /Login/login.jsp HTTP/1.1" 200 386
